,Unnamed: 0,url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart,year,month,day
11001,11001,http://www.billboard.com/charts/hot-100/2007-03-10,2007-03-10,95,Like A Star,Corinne Bailey Rae (3-2007),Like A StarCorinne Bailey Rae,1,56.0,56,2,2007,3,10
101525,101525,http://www.billboard.com/charts/hot-100/1958-08-09,1958-08-09,56,Leroy,Jack Scott (8-1958),LeroyJack Scott,1,56.0,56,2,1958,8,9
106865,106865,http://www.billboard.com/charts/hot-100/2013-10-19,2013-10-19,84,Furthest Thing,Drake (10-2013),Furthest ThingDrake,1,56.0,56,2,2013,10,19
159762,159762,http://www.billboard.com/charts/hot-100/2010-06-05,2010-06-05,93,Pyramid,Charice Featuring Iyaz (6-2010),PyramidCharice Featuring Iyaz,1,56.0,56,2,2010,6,5
224385,224385,http://www.billboard.com/charts/hot-100/2007-05-19,2007-05-19,66,Up To The Mountain,Kelly Clarkson Featuring Jeff Beck (5-2007),Up To The MountainKelly Clarkson Featuring Jeff Beck,1,56.0,56,2,2007,5,19
291815,291815,https://www.billboard.com/charts/hot-100/2018-08-25,2018-08-25,56,Rich Sex,Nicki Minaj Featuring Lil Wayne (8-2018),Rich SexNicki Minaj Featuring Lil Wayne,2,,56,2,2018,8,25
5695,5695,http://www.billboard.com/charts/hot-100/2007-06-16,2007-06-16,56,Beautiful Flower,India.Arie (6-2007),Beautiful FlowerIndia.Arie,1,,56,1,2007,6,16
5701,5701,http://www.billboard.com/charts/hot-100/2010-11-13,2010-11-13,56,Better Than Revenge,Taylor Swift (11-2010),Better Than RevengeTaylor Swift,1,,56,1,2010,11,13
5702,5702,http://www.billboard.com/charts/hot-100/2010-11-20,2010-11-20,56,Roman's Revenge,Nicki Minaj Featuring Eminem (11-2010),Roman's RevengeNicki Minaj Featuring Eminem,1,,56,1,2010,11,20
5705,5705,http://www.billboard.com/charts/hot-100/2016-02-13,2016-02-13,56,Bake Sale,Wiz Khalifa Featuring Travi$ Scott (2-2016),Bake SaleWiz Khalifa Featuring Travi$ Scott,1,,56,1,2016,2,13
9988,9988,http://www.billboard.com/charts/hot-100/2006-04-22,2006-04-22,56,Every Day Is Exactly The Same,Nine Inch Nails (4-2006),Every Day Is Exactly The SameNine Inch Nails,1,,56,1,2006,4,22
9994,9994,http://www.billboard.com/charts/hot-100/2011-02-26,2011-02-26,56,Fat Bottomed Girls,Glee Cast (2-2011),Fat Bottomed GirlsGlee Cast,1,,56,1,2011,2,26
